timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1448960612885,13313,Suggest Request,200,OK,Thread-Gruppe 1-257,text,false,327,95,95,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraf,13313,0,0
1448960612857,13374,Suggest Request,200,OK,Thread-Gruppe 1-249,text,false,328,94,94,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Soc,13373,0,0
1448960612778,13479,Suggest Request,200,OK,Thread-Gruppe 1-228,text,false,1989,93,93,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Erfindung,13479,0,0
1448960611718,14543,Suggest Request,200,OK,Thread-Gruppe 1-8,text,false,2228,93,93,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Bison,14543,0,0
1448960612765,13498,Suggest Request,200,OK,Thread-Gruppe 1-222,text,false,357,92,92,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Erf,13498,0,0
1448960612816,13461,Suggest Request,200,OK,Thread-Gruppe 1-236,text,false,2381,90,90,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Assess,13461,0,0
1448960609728,16549,Suggest Request,200,OK,Thread-Gruppe 1-91,text,false,328,90,90,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=eri,16549,0,0
1448960612975,13329,Suggest Request,200,OK,Thread-Gruppe 1-281,text,false,328,88,88,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=essen,13329,0,0
1448960612875,13463,Suggest Request,200,OK,Thread-Gruppe 1-255,text,false,2675,87,87,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Societies,13463,0,0
1448960612820,13564,Suggest Request,200,OK,Thread-Gruppe 1-240,text,false,2144,86,86,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Assessme,13564,0,0
1448960612833,13724,Suggest Request,200,OK,Thread-Gruppe 1-243,text,false,327,85,85,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Dom,13724,0,0
1448960612852,13767,Suggest Request,200,OK,Thread-Gruppe 1-247,text,false,327,84,84,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Dominanc,13767,0,0
1448960613022,13612,Suggest Request,200,OK,Thread-Gruppe 1-282,text,false,2387,83,83,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arbeitshe,13612,0,0
1448960613008,13629,Suggest Request,200,OK,Thread-Gruppe 1-290,text,false,328,83,83,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arbei,13629,0,0
1448960612802,13845,Suggest Request,200,OK,Thread-Gruppe 1-233,text,false,328,81,81,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Liebe,13845,0,0
